iter	Passed	Remaining
921	6515	551
922	6518	543
923	6527	536
924	6530	529
925	6533	522
926	6536	514
927	6544	507
928	6548	500
929	6562	493
930	6564	486
931	6576	479
932	6578	472
933	6591	465
934	6593	458
935	6599	451
936	6613	444
937	6615	437
938	6625	430
939	6628	423
940	6630	415
941	6633	408
942	6645	401
943	6647	394
944	6661	387
945	6663	380
946	6666	373
947	6679	366
948	6683	359
949	6694	352
950	6698	345
951	6715	338
952	6718	331
953	6722	324
954	6724	316
955	6734	309
956	6737	302
957	6754	296
958	6756	288
959	6767	281
960	6769	274
961	6772	267
962	6774	260
963	6788	253
964	6790	246
965	6795	239
966	6800	232
967	6802	224
968	6811	217
969	6814	210
970	6818	203
971	6821	196
972	6834	189
973	6836	182
974	6840	175
975	6843	168
976	6850	161
977	6852	154
978	6854	147
979	6867	140
980	6869	133
981	6883	126
982	6885	119
983	6893	112
984	6896	105
985	6898	97
986	6900	90
987	6902	83
988	6915	76
989	6920	69
990	6922	62
991	6930	55
992	6932	48
993	6940	41
994	6942	34
995	6944	27
996	6948	20
997	6950	13
998	6967	6
999	6969	0
